COMPRADOR;CODIGO_FORNECEDOR_PRINCIPAL;FORNECEDOR_PRINCIPAL;SUBGRUPO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBALAGEM;PERC_ACM;PRECO_CUSTO;PRECO_VENDA;MARGEM_ATUAL;MARGEM_OBJETIVA;QTD_VENDIDA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;ESTOQUE_LOJA;ESTOQUE_DEPOSITO;PENDENTE_EXPEDIR_CD
NJOUD HASSAN ZITAWI;15943;INGA IMPORT LTDA SC;ACESSORIOS;33407;PA P JARDINAGEM 75CM;1;96,5;18,97;49,9;61,98;35;20;0;0;97;-12;82
NJOUD HASSAN ZITAWI;0;SEM FORNECEDOR;ACESSORIOS;18939;GATILHO P/MANG PREMIUM;1;99,5;4,91;9,99;50,85;28;19;0;0;171;0;0
NJOUD HASSAN ZITAWI;10770;RIO TIJUCAS IMPORTADORA LTDA;ACESSORIOS;33770;KIT JARDINAGEM METAL C3 CABO MADEIRA;120;99,3;6,55;14,99;56,3;35;16;0;0;69;0;0
NJOUD HASSAN ZITAWI;10770;RIO TIJUCAS IMPORTADORA LTDA;ACESSORIOS;6604;KIT METAL JARDINAGEM C 3PCS;60;99,4;11,17;25,99;57,02;35;9;0;0;44;0;0
NJOUD HASSAN ZITAWI;0;SEM FORNECEDOR;ACESSORIOS;21474;PA METAL P/JARDIM 8X46,5CM;1;99,6;7,7;17,99;57,2;35;9;0;0;54;0;0
NJOUD HASSAN ZITAWI;0;SEM FORNECEDOR;ACESSORIOS;33748;CJ ADAPTADOR P MANGUEIRA;72;99,8;13,48;29,99;55,05;35;3;0;0;9;0;0
NJOUD HASSAN ZITAWI;0;SEM FORNECEDOR;ACESSORIOS;24516;SUP P/MAGUEIRA PLAST PREMIUM;1;99,9;0;16,99;100;28;3;0;0;0;0;0
NJOUD HASSAN ZITAWI;10770;RIO TIJUCAS IMPORTADORA LTDA;ACESSORIOS;35836;PA METAL P JARDIM 25X7 5CM;1;100;3,5;9,99;64,96;35;2;0;0;56;0;0
NJOUD HASSAN ZITAWI;4495;MONTEREY PROCESSOS PLADSTICOS LTDA ME;ACESSORIOS;17920;ESGUICHO P MANG PREMIUM;1;100;5,31;12,99;59,12;28;1;0;0;41;0;0
NJOUD HASSAN ZITAWI;5918;DI ROCHA LTDA;ACESSORIOS PARA GAS;12297;AGULHA P FOGAO 2;1;99,3;1,56;4,99;68,74;35;49;0;0;261;0;0
NJOUD HASSAN ZITAWI;5918;DI ROCHA LTDA;ACESSORIOS PARA GAS;25090;VALVULA PANELA PRESSAO UNIVERSAL;1;98,8;4,99;13,99;64,33;35;30;0;0;200;0;0
NJOUD HASSAN ZITAWI;5918;DI ROCHA LTDA;ACESSORIOS PARA GAS;22073;PLAFONIER C SOQUETE LOUCA;1;99,4;6,99;17,99;61,15;35;13;0;0;211;0;0
NJOUD HASSAN ZITAWI;15952;ENDURANCE INDUSTRIA LTDA;ACESSORIOS PARA GAS;10434;VALVULA Q UTIL GAS;1;99,5;0;25,99;100;35;7;0;0;53;0;0
NJOUD HASSAN ZITAWI;0;SEM FORNECEDOR;ACESSORIOS PARA GAS;20459;MANP/GAS 1M C/ABRACADEIRAS;1;99,5;0;26,89;100;35;7;0;0;4;0;0
NJOUD HASSAN ZITAWI;0;SEM FORNECEDOR;ACESSORIOS PARA GAS;22889;REGULADOR GAS 1K/H C/MANG 0,80M;1;99,8;19,44;39,99;51,39;35;2;0;0;39;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;33705;SH SEDA 425ML CERAMIDAS;12;73,9;8,41;10,99;23,48;23,99;835;258;438;264;72;264
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;8352;SH SEDA 325ML CERAMIDAS;12;74,7;8,2;11,89;31,03;28;736;328;496;356;156;276
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;6617;KIT SH SEDA SH 300 COND 190ML LISO PERFEITO;15;72,5;13,4;15,99;16,2;28;642;432;672;-209;0;60
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;6614;KIT SH SEDA SH 300 COND 190ML CACHOS DEFINIDO;15;72,9;11,21;15,99;29,89;28;623;226;451;478;1860;1155
JOAO BATISTA;10142;KASADOCE DISTRIBUIDORA DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;19797;KIT SH CD NOVEX 300ML CICATRIZADOR FIOS;12;75,4;9,99;13,89;28,08;28;595;150;306;427;0;0
JOAO BATISTA;10142;KASADOCE DISTRIBUIDORA DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;19800;KIT SH CD NOVEX 300ML SUPER BABOSAO;12;76,8;9,99;13,89;28,08;28;539;154;322;916;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;36262;KIT SH CD SEDA 300ML 190ML TOQUE DE SEDA;15;75,2;11,21;15,99;29,89;24;524;352;577;-94;1275;615
JOAO BATISTA;10142;KASADOCE DISTRIBUIDORA DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;33651;KIT SH CD NOVEX 300ML RITUAL DORAMA;12;77,4;9,99;13,89;28,08;28;516;0;0;386;0;0
JOAO BATISTA;10142;KASADOCE DISTRIBUIDORA DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;19799;KIT SH CD NOVEX 300ML OLEO ARGAN;12;77,8;9,99;13,89;28,08;28;499;0;0;470;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;6615;KIT SH SEDA SH 300 COND 190ML CERAMIDAS;15;77,4;11,21;15,99;29,89;28;449;406;631;-169;0;45
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;35788;SH SEDA 300ML TOQUE DE SEDA;12;81,3;7,99;11,89;32,8;24;429;192;360;94;156;168
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;8345;SH SEDA 325ML LISO PERFEITO;12;81,5;8,73;11,89;26,58;28;423;206;386;146;0;12
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;22916;REPARADOR PONTAS JAYLUC 30ML OLEO ARGAN;1;82,2;7,28;11,89;38,77;35;403;392;752;352;24;240
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;6618;KIT SH SEDA SH 300 COND 190ML LUMINIOUS UV;15;78,7;11,21;15,99;29,89;28;403;266;506;-16;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;33707;SH SEDA 425ML COCO RESTAURA;12;83,5;6,14;10,99;44,13;23,99;399;166;334;77;0;36
JOAO BATISTA;6643;ONIZ DISTRIBUIDORA LTDA.;ACESSORIOS PERFUM CABELO;8428;SH350 COND PANTENE 175ML RESTAURACAO;6;71,1;20,18;33,19;39,2;28;349;278;380;376;336;66
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;8152;SH ANTIC CLEAR LV200ML PG170ML MEN ICE COOL MENTHO;12;80;12,52;16,99;26,31;30;340;224;380;322;24;84
JOAO BATISTA;6643;ONIZ DISTRIBUIDORA LTDA.;ACESSORIOS PERFUM CABELO;19802;KIT SH CD PANTENE 300 150ML COLAGENO;6;71,9;25,93;33,19;21,87;28;329;188;278;65;0;12
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5302;CR PENT SEDA 300ML CACH DEFINIDOS;12;85,3;9,33;11,49;18,8;35;327;132;288;68;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;6613;KIT SH SEDA SH 300 COND 190ML BABOSA OLEOS;15;83,2;11,21;15,99;29,89;28;281;192;417;45;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;4893;SH ANTIC CLEAR L400P330 LIM DIAR 2/1;12;77,5;20,28;25,59;20,75;30;278;196;364;227;0;120
JOAO BATISTA;6643;ONIZ DISTRIBUIDORA LTDA.;ACESSORIOS PERFUM CABELO;8427;SH350 COND PANTENE 175ML LISO;6;74,1;25,59;33,19;22,9;28;274;90;174;138;84;0
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;8242;SH JAY LUC 1L BLIND QUERATINA;12;84,5;10,84;14,99;27,69;28;271;140;296;47;131;156
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;24358;SH SEDA ANT CASP HIDRATACAO DIARIA 325ML;12;87;8,43;11,89;29,1;30;269;256;424;431;24;120
JOAO BATISTA;6643;ONIZ DISTRIBUIDORA LTDA.;ACESSORIOS PERFUM CABELO;19803;KIT SH CD PANTENE 300 150ML EQUILIBRIO;6;74,7;25,62;33,19;22,81;28;263;234;318;294;174;60
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;22915;REPARADOR PONTAS JAYLUC 30ML CERAMIDAS;1;87,4;7,57;11,89;36,33;35;262;558;894;574;88;264
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;8246;SH JAY LUC 1L NEUTRO;12;85,3;11,42;14,99;23,82;28;250;184;340;194;72;120
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;33702;SH SEDA 425ML PRETO LUMINOSOS;12;88,9;6,14;10,99;44,13;23,99;248;222;390;56;0;12
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;8339;SH SEDA 325ML CACHOS DEFINID;12;88,4;7,19;11,89;39,53;28;241;140;308;218;0;96
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5070;COND SEDA 325ML LISO PERFEITO;12;85,1;9,71;15,99;39,27;28;240;156;324;205;0;12
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;8244;SH JAY LUC 1L COCO SEM SAL;12;86,4;11,53;14,99;23,08;28;228;160;316;185;11;36
JOAO BATISTA;13363;AM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;16937;CR TRAT HEDERA 960G OLEO D ARGAN;6;87,1;7,99;13,89;42,48;35;228;96;180;98;882;66
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;35588;CD SEDA 225ML TOQUE DE SEDA;12;86,4;10,82;14,99;27,82;24;228;146;302;313;0;36
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;9145;COND SEDA GLYCOL VIT C 425ML;1;88,9;7,38;11,99;38,45;28;226;146;302;46;10;12
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;8350;SH SEDA 325ML PRETOS LUMINOSO;12;89,1;8,77;11,89;26,24;28;225;174;344;188;12;12
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5308;CR PENT SEDA 300ML LISO PERFEITO;12;89,8;7,98;11,49;30,55;35;218;130;286;141;48;108
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;8159;SH ANTIC CLEAR L400P330 ICE COOL MENTHO;12;80,6;20,12;25,59;21,38;30;214;276;468;435;0;60
JOAO BATISTA;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A;ACESSORIOS PERFUM CABELO;19791;KIT SH CD NEUTROX 300ML 200ML CLASSICO;12;85,5;12,78;17,89;28,56;28;207;120;264;204;20;36
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5309;CR PENT SEDA 300ML LUMINOUS UV;12;90,6;7,98;11,49;30,55;35;202;130;286;157;0;36
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;35581;CREME P PENT SEDA 300ML TOQUE DE SEDA;12;91,2;7,86;11,49;31,59;26;190;130;286;215;0;48
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5064;COND SEDA 325ML CACHOS DEFINIDO;12;87,8;12,09;15,99;24,39;28;188;148;316;102;0;0
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;4988;COND JAY LUC 1L NEUTRO;12;86,8;11,82;17,49;32,42;28;187;156;324;255;231;48
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;33713;CD SEDA 425ML CERAMIDAS;12;92,3;6,97;10,29;32,26;28;185;170;338;-58;0;12
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5077;COND SEDA 325ML SOS CERAMIDAS;12;88,1;10,49;15,99;34,4;28;184;170;338;84;0;12
JOAO BATISTA;3266;NILO TOZZO DISTRIBUIDORA LTDA;ACESSORIOS PERFUM CABELO;8259;SH NEUTROX 300G CLASSICO;12;93;8,99;9,49;5,27;28;184;176;332;136;0;84
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;8245;SH JAY LUC 1L MICELAR;12;88,8;11,2;14,99;25,28;28;183;144;288;163;7;24
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;24313;SH DARLING CERAMIDAS 650ML;6;86;13,29;19,29;31,1;30;183;122;200;189;96;6
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5314;CR PENT SEDA 300ML SOS CERAMIDAS;12;91,5;7,85;11,49;31,68;35;182;132;288;14;0;0
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;10277;SH JAYLUC PLUS C VALVULA 1L PROTEINA LEITE;12;88,9;10,84;14,99;27,69;28;181;134;288;163;24;48
JOAO BATISTA;8425;AMAZONIA BRASIL COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;18942;GEL AMAZONIA ARNICA 235G;24;94,4;5,99;7,99;25,03;32;180;258;594;356;0;24
JOAO BATISTA;13363;AM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;16935;CR TRAT HEDERA 960G CERAMIDAS;6;89,9;8,99;13,89;35,28;35;180;90;174;82;6;48
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;22914;REPARADOR PONTAS JAYLUC 30ML BLIND QUERAT;1;91,4;7,69;11,89;35,32;35;179;510;1182;776;0;192
JOAO BATISTA;13363;AM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;16936;CR TRAT HEDERA 960G LISS PERFEITO;6;90,3;7,99;13,89;42,48;35;172;84;168;66;228;90
JOAO BATISTA;13363;AM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;16930;CR TRAT CAPILAR HEDERA BABOSA 960G;6;90,3;8,99;13,89;35,28;35;172;84;168;111;138;54
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;10240;SH DARLING 350ML CERAMIDAS;6;92,1;7,96;11,29;29,5;28;172;134;214;124;0;6
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;24311;SH DARLING 2X1 650ML;6;86,7;13,19;19,29;31,62;30;171;132;210;196;120;18
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;24342;SH PALMOLIVE 650ML NUTRICAO EXTRA;6;87,1;14,74;18,99;22,38;28;167;106;178;94;0;30
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;8243;SH JAY LUC 1L CEREMIDAS S SAL;12;90,4;11,22;14,99;25,15;28;157;124;260;180;83;36
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;10239;SH DARLING 2EM1 350ML;6;92,7;8,15;11,59;29,68;30;156;135;216;153;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5076;COND SEDA 325ML PRET ILUMINOS;12;89,9;10,49;15,99;34,4;28;155;162;330;231;0;12
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5316;CR PENT SEDA 350ML BOOM DEFINICAO FLEXI;12;92,5;9;11,99;24,94;30;155;120;264;203;12;12
JOAO BATISTA;6857;SGM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;6243;GEL VINI LADY 220G FIXADOR AZUL;24;94,2;5,95;9,69;38,6;32;154;192;456;164;0;96
JOAO BATISTA;10142;KASADOCE DISTRIBUIDORA DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;22801;RECARGA QUERATINA NOVEX 80G;1;89,5;10,9;16,79;35,08;35;153;129;189;428;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;33890;KIT SH CD DOVE 350ML 175ML NUTRICAO;8;79,3;26,1;39,79;34,41;28;153;64;128;90;0;24
JOAO BATISTA;6643;ONIZ DISTRIBUIDORA LTDA.;ACESSORIOS PERFUM CABELO;8426;SH350 COND PANTENE 175ML HIDROCAUTER;6;81,4;19,9;33,19;40,04;28;153;152;216;129;0;0
JOAO BATISTA;13363;AM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;16941;CR TRAT HEDERA SH 960G CER.;6;93,5;6,99;10,79;35,22;35;152;84;168;191;12;36
JOAO BATISTA;3266;NILO TOZZO DISTRIBUIDORA LTDA;ACESSORIOS PERFUM CABELO;8254;SH MONANGE 325ML CACHOS QUE TAL;12;94,9;6,29;8,79;28,44;28;151;168;312;48;0;168
JOAO BATISTA;13363;AM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;16940;CR TRAT HEDERA SH 960G BOMBA;6;93,6;6,99;10,79;35,22;35;150;84;168;113;12;42
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5075;COND SEDA 325ML PREBIO/BIOTINA;12;90,7;9,71;15,29;36,49;28;149;130;286;175;0;0
JOAO BATISTA;10844;BETTANIN INDL SA;ACESSORIOS PERFUM CABELO;6006;ESPONJA BETTANIN BETA BANHO 467;12;97;2;5,89;66,04;40;149;130;286;842;0;0
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;24341;SH PALMOLIVE 650ML NEUTRO LIMP;6;88,5;14,74;18,99;22,38;28;149;134;204;117;0;12
JOAO BATISTA;3266;NILO TOZZO DISTRIBUIDORA LTDA;ACESSORIOS PERFUM CABELO;24332;SHAMPOO MONANGE 325ML DETOX TERAPIA;12;95,1;7,14;8,79;18,77;28;147;122;254;64;0;144
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;18986;GEL JAY LUC BR MOLHADO 240G N2 AZUL;24;95,7;5,31;7,89;32,7;32;146;190;434;95;23;0
JOAO BATISTA;6567;HIGIE-PLUS INDUSTRIA E COM.LTDA;ACESSORIOS PERFUM CABELO;24309;SH COTTONBABY SNOOPY 200ML GOTAS CAMOMILA;12;93,4;8,3;11,49;27,76;34;146;112;244;165;0;12
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5317;CR PENT SEDA 350ML BOOM DEFINICAO INTEN;12;93,2;8,68;11,99;27,61;30;142;110;242;41;0;36
JOAO BATISTA;3266;NILO TOZZO DISTRIBUIDORA LTDA;ACESSORIOS PERFUM CABELO;15659;CD NEUTROX 300ML CLASSICO;12;94,2;7,51;10,49;28,41;28;142;130;286;262;202;24
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;18987;GEL JAY LUC BR MOLHADO 240G N3 INC;24;95,9;5,46;7,89;30,8;32;141;144;336;51;10;0
JOAO BATISTA;3264;NILO TOZZO E CIA LTDA.;ACESSORIOS PERFUM CABELO;12280;AGUA OXIG BUTTERF 40V 100ML;12;98,2;2,2;4,09;46,21;35;140;148;304;228;128;102
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;10241;SH DARLING 350ML TILIA;6;93,9;8,15;11,29;27,81;28;137;132;212;153;0;6
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;8332;SH SEDA 300ML LUMINOSO UV;12;93,7;7,77;11,89;34,65;28;135;182;338;-31;0;24
JOAO BATISTA;6857;SGM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;8403;SH VINI LADY 330ML KIDS MAGIA DO UNICOR;12;93,8;8,45;11,79;28,33;28;134;146;302;104;12;48
JOAO BATISTA;8714;BASTON DO BRASIL PRODUTOS QUIMICO LTDA;ACESSORIOS PERFUM CABELO;24303;SH ABOVE ANTICASPA MASC 325ML;12;91,1;11,97;16,69;28,28;28;132;172;304;101;0;0
JOAO BATISTA;6962;CENTRAL DISTR OFERTAO DE ALIM LTDA;ACESSORIOS PERFUM CABELO;6602;KIT ELSEVE SH COND 375ML 170ML GLYCOLIC GLOSS;6;79,2;35,47;48,99;27,6;28;126;142;206;117;60;78
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5303;CR PENT SEDA 300ML COLAGENO E VIT;12;94,4;7,98;11,49;30,55;35;126;130;286;226;0;24
JOAO BATISTA;6857;SGM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;8405;SH VINI LADY 325ML LISO INTENSO;12;95,9;5,69;8,99;36,71;28;124;120;264;132;12;120
JOAO BATISTA;18958;CDC INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;18985;GEL JAY LUC BR MOLHADO 240G N1 INC;24;96,6;5,6;7,89;29,02;32;124;224;516;138;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;33886;KIT SH CD DOVE 350ML 175ML BOND;8;82,1;25,38;39,79;36,22;28;122;56;120;122;8;24
JOAO BATISTA;6857;SGM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;8408;SH VINI LADY 325ML PRETO ABSOLUTO;12;96;6,55;8,99;27,14;28;122;120;264;152;0;48
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;8276;SHAMPOO PALMOLIVE 350ML NEUTRO;6;94,5;8,9;11,99;25,77;24;119;122;206;94;5;17
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5307;CR PENT SEDA 300ML JUNTINHOS TODOS OS TIPOS;12;95,2;7,85;10,89;27,92;30;117;132;288;96;0;24
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;24314;SH DARLING DETOX 350ML;6;95,2;7,99;10,89;26,63;28;117;116;194;238;64;6
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;8146;SH ANTIC CLEAR 200ML MEN HIDRATAC CAMPEA;12;91,6;13,94;17,99;22,51;28;115;152;296;153;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;34612;SH DOVE 600ML UV REPAIR GLOW;12;83,7;30,3;37,99;20,24;25;114;84;180;119;0;24
JOAO BATISTA;3266;NILO TOZZO DISTRIBUIDORA LTDA;ACESSORIOS PERFUM CABELO;8256;SH MONANGE 325ML LISOS TE QUERO;12;96,4;6,29;8,79;28,44;28;114;120;264;-30;96;204
JOAO BATISTA;13363;AM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;16939;CR TRAT HEDERA SH 960G BABOSA;6;95,5;7;10,79;35,13;35;111;84;168;265;54;6
JOAO BATISTA;6857;SGM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;5343;CR TRAT PENTEAR VINI LADY 900G LISO INTENSO;6;93,4;9,68;14,99;35,42;35;111;78;156;116;71;60
JOAO BATISTA;6643;ONIZ DISTRIBUIDORA LTDA.;ACESSORIOS PERFUM CABELO;19804;KIT SH CD PANTENE 300 150ML QUERATINA;6;85,7;25,61;33,19;22,84;28;110;90;174;127;0;0
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;8263;SH PALMOLIVE 350ML ACIDO HIALURONIC;6;95;8,9;11,99;25,77;28;109;122;200;71;0;0
JOAO BATISTA;6643;ONIZ DISTRIBUIDORA LTDA.;ACESSORIOS PERFUM CABELO;8296;SH PANTENE 200ML BAMBU;6;93,4;12,07;15,39;21,57;28;108;102;186;137;96;48
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;8277;SHAMPOO PALMOLIVE 350ML NUTRI LISS;6;95,2;8,9;11,99;25,77;24;106;118;190;151;0;0
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;24340;SH PALMOLIVE 650ML NATURALS CERAM;6;91,8;14,74;18,99;22,38;28;106;122;194;31;0;12
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;36357;OLEO SERUM TOQUE DE SEDA FR 60ML;12;89,8;18,36;23,59;22,17;28;106;0;0;-23;0;0
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5056;COND SEDA 300ML JUNTINHOS TODOS OS TIPOS;12;93,4;9,71;15,99;39,27;28;105;138;294;260;0;0
JOAO BATISTA;7436;DI HELLEN IND. DE COSMETICO LTDA;ACESSORIOS PERFUM CABELO;18979;GEL FIX DI HELLEN BRI MOL FL ADREN 240G;12;96,6;6,3;9,29;32,19;32;105;150;294;106;0;84
JOAO BATISTA;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACESSORIOS PERFUM CABELO;8274;SHAMPOO PALMOLIVE 350ML NUTRICAO EXTRA;6;95,2;8,38;11,99;30,11;24;105;116;194;87;0;30
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5305;CR PENT SEDA 300ML JUNTINHOS CACHOS;12;95,8;8,69;10,89;20,2;30;105;130;286;151;0;24
JOAO BATISTA;17017;ZAFFALON E CIA LTDA;ACESSORIOS PERFUM CABELO;5313;CR PENT SEDA 300ML PRETO LUMINOSO;12;95,5;7,98;11,49;30,55;35;104;134;290;51;0;0
JOAO BATISTA;6857;SGM INDUSTRIA DE COSMETICOS LTDA;ACESSORIOS PERFUM CABELO;9231;CR TRAT VINI LADY SC 700G COCO NUTRICAO;12;96;6,98;10,49;33,46;35;104;72;144;82;198;84
JOAO BATISTA;6643;ONIZ DISTRIBUIDORA LTDA.;ACESSORIOS PERFUM CABELO;8293;SH PANTENE 175ML QUERATINA;6;94;11,99;15,39;22,09;27;100;116;190;163;66;30
