CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;NRO_PEDIDO;DATA;NRO_PED_EXPEDICAO;CARGA;EMBALAGEM;ESTOQUE_DISPONIVEL_CD;QUANTIDADE_A_EXPEDIR;QTD_SEPARADA;QTD_CONFERIDA;DATA_CONFERENCIA;USUARIO_CONFERENCIA;ESTOQUE_DISPONIVEL_LOJA
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA E LIMPEZA;31339;02/03/2026;56125;23853;12;1;24;0;0;04/03/2026;LUIZA;-12
7;1679;CONFEITO BIBS PASSAS 40G;MERCEARIA;31339;02/03/2026;56123;23886;72;24;72;0;0;04/03/2026;MARIA;57
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA E LIMPEZA;31339;02/03/2026;56123;23886;12;0;12;1;1;04/03/2026;JOCELAINE;30
2;2296;ERVILHA YOKI PARTIDA 400GR;PERECIVEIS;31682;03/03/2026;57885;24830;16;0;16;0;0;;;15
13;12542;AP VENUS PELE SENS RECAR;PERFUMARIA E LIMPEZA;31690;03/03/2026;56347;23858;1;148;2;0;0;;;31
8;9539;FRALDA BABYSEC ULTRA JUMBINHO G 16UN;PERFUMARIA E LIMPEZA;32924;06/03/2026;58799;25464;8;80;8;0;0;07/03/2026;EVERSON;13
8;18748;FRALDA DESC FERINHA JUMBINHO C 18 M;PERFUMARIA E LIMPEZA;32924;06/03/2026;58799;25464;12;24;24;0;0;07/03/2026;EVERSON;0
8;8274;SHAMPOO PALMOLIVE 350ML NUTRICAO EXTRA;PERFUMARIA E LIMPEZA;32924;06/03/2026;58799;25464;6;0;6;1;1;09/03/2026;NYCOLI;5
2;2307;ATUM RALADO NAUTIQUE 170G EM OLEO;MERCEARIA;34315;10/03/2026;61396;28586;24;3168;240;0;0;17/03/2026;SEFRIN;11
2;2307;ATUM RALADO NAUTIQUE 170G EM OLEO;MERCEARIA;34901;11/03/2026;62195;28586;24;3168;120;0;0;17/03/2026;SEFRIN;11
2;874;MAIONESE ODERICH SH 1KG;MERCEARIA;34901;11/03/2026;62195;28586;6;401;60;0;0;17/03/2026;SEFRIN;63
2;2767;MAIONESE HELLMANNS SH 200G;MERCEARIA;34901;11/03/2026;62195;28586;24;0;1200;0;0;17/03/2026;SEFRIN;188
2;946;MAIONESE LIZA CASEIRA BD 2 7KG;MERCEARIA;34901;11/03/2026;62195;28586;6;4;12;0;0;17/03/2026;SEFRIN;0
2;790;REFRIG CHARRUA GUARANA PET 2L;BEBIDAS;34945;11/03/2026;62212;28586;8;-264;240;0;0;17/03/2026;BRAGA;382
